 L_T1, L_T2, L_T3, L_T4, L_T5, L_T6, L_T7, F_PU1, S_PU1, F_PU2, S_PU2, F_PU3, S_PU3, F_PU4, S_PU4, F_PU5, S_PU5, F_PU6, S_PU6, F_PU7, S_PU7, F_PU8, S_PU8, F_PU9, S_PU9, F_PU10, S_PU10, F_PU11, S_PU11, F_V2, S_V2, P_J280, P_J269, P_J300, P_J256, P_J289, P_J415, P_J302, P_J306, P_J307, P_J317, P_J14, P_J422, ATT_FLAG
4.42,4.84,3.44,2.83,2.43,5.5,4.35,90.44,1.0,90.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.54,1.0,0.0,0.0,0.0,0.0,31.9,1.0,0.0,0.0,0.0,0.0,2.98,38.07,27.81,71.45,27.77,84.04,30.92,61.69,30.8,74.41,42.03,29.19,-999
1.23,3.49,3.19,3.54,2.48,5.5,3.56,120.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.09,1.0,34.64,1.0,0.0,0.0,29.42,1.0,0.0,0.0,55.06,1.0,2.99,21.56,28.33,69.75,28.29,85.45,18.39,80.98,18.29,70.14,30.73,29.83,-999
0.66,2.2,4.76,3.09,3.0,5.5,4.45,97.75,1.0,97.77,1.0,0.0,0.0,32.91,1.0,0.0,0.0,0.0,0.0,48.4,1.0,34.21,1.0,0.0,0.0,28.67,1.0,0.0,0.0,85.43,1.0,2.97,34.18,26.66,92.22,26.72,87.11,19.99,83.29,19.89,74.03,29.59,28.69,-999
1.11,2.65,5.01,3.1,2.77,5.1,3.22,94.65,1.0,94.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.32,1.0,2.98,35.84,29.24,75.14,29.22,80.86,30.2,63.67,30.2,59.76,31.75,30.85,-999
4.4,4.73,4.16,3.85,3.71,5.12,3.0,88.25,1.0,88.26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.04,1.0,0.0,0.0,0.0,0.0,33.28,1.0,0.0,0.0,0.0,0.0,2.98,39.21,27.82,75.38,27.78,86.97,31.76,63.73,31.63,70.28,43.32,29.18,-999
2.52,0.6,4.42,3.58,3.94,5.5,2.88,119.52,1.0,0.0,0.0,0.0,0.0,31.96,1.0,0.0,0.0,0.0,0.0,48.37,1.0,34.32,1.0,0.0,0.0,29.68,1.0,0.0,0.0,86.07,1.0,2.99,22.02,25.1,92.15,25.15,85.58,19.04,82.17,18.93,69.96,28.01,27.11,-999
3.03,1.62,4.94,4.28,1.96,5.29,4.97,114.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.02,1.0,2.99,24.67,27.78,76.69,27.74,87.84,30.42,62.97,30.42,57.7,30.36,29.46,1
0.94,4.15,4.54,4.11,2.42,5.5,1.71,97.87,1.0,97.89,1.0,0.0,0.0,34.04,1.0,0.0,0.0,0.0,0.0,49.03,1.0,33.14,1.0,0.0,0.0,21.56,1.0,21.53,1.0,71.29,1.0,2.97,34.12,28.45,92.18,28.51,87.71,16.54,81.69,16.34,88.28,31.32,30.42,-999
3.87,0.76,4.16,3.72,3.13,5.24,1.23,92.18,1.0,92.2,1.0,0.0,0.0,32.67,1.0,0.0,0.0,0.0,0.0,46.95,1.0,35.24,1.0,0.0,0.0,31.72,1.0,0.0,0.0,0.0,0.0,2.98,37.15,20.97,86.9,21.02,84.04,22.62,84.18,22.5,66.74,40.55,22.69,-999
4.08,0.41,4.96,3.1,3.8,5.5,3.5,96.77,1.0,96.79,1.0,0.0,0.0,35.34,1.0,0.0,0.0,0.0,0.0,49.37,1.0,35.63,1.0,0.0,0.0,30.79,1.0,0.0,0.0,106.35,1.0,2.98,34.71,25.19,86.71,25.26,83.81,21.03,81.91,20.92,68.33,28.31,27.41,-999
3.69,5.48,4.82,3.21,1.73,5.16,3.32,94.27,1.0,94.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.87,1.0,37.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.72,1.0,2.98,36.05,30.95,74.96,30.91,88.5,28.11,85.83,28.11,58.86,33.47,32.57,-999
1.74,4.49,4.17,4.36,2.5,5.5,4.09,95.77,1.0,95.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.41,1.0,0.0,0.0,59.55,1.0,2.98,35.25,31.98,69.32,31.98,68.07,27.33,62.61,27.22,72.53,34.22,33.32,-999
4.97,3.43,3.08,2.86,3.42,5.5,3.13,90.6,1.0,90.61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.81,1.0,36.33,1.0,0.0,0.0,31.19,1.0,0.0,0.0,0.0,0.0,2.98,37.98,26.46,69.31,26.41,84.13,23.94,83.57,23.83,69.89,41.9,27.83,1
4.19,1.8,3.71,2.64,3.45,5.42,2.26,113.59,1.0,0.0,0.0,0.0,0.0,33.72,1.0,0.0,0.0,0.0,0.0,48.04,1.0,35.54,1.0,0.0,0.0,31.44,1.0,0.0,0.0,0.0,0.0,2.99,25.43,21.76,86.01,21.82,82.86,21.76,82.81,21.65,66.87,37.96,23.51,-999
1.82,5.02,3.36,3.58,3.6,5.5,4.71,97.35,1.0,97.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.04,1.0,35.18,1.0,0.0,0.0,30.29,1.0,0.0,0.0,66.41,1.0,2.97,34.4,30.07,71.07,30.03,87.29,20.09,81.75,19.98,69.06,32.52,31.62,-999
4.1,1.93,3.41,3.44,2.92,5.5,2.62,113.27,1.0,0.0,0.0,0.0,0.0,34.31,1.0,0.0,0.0,0.0,0.0,47.89,1.0,35.8,1.0,0.0,0.0,31.09,1.0,0.0,0.0,0.0,0.0,2.99,25.61,21.84,85.12,21.91,83.24,21.92,82.5,21.81,68.22,38.08,23.6,-999
1.47,5.17,4.69,3.18,3.11,4.99,2.76,92.86,1.0,92.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.51,1.0,2.98,36.79,33.23,76.01,33.23,66.09,31.29,63.19,31.29,58.75,35.5,34.6,-999
3.35,2.58,5.25,4.25,1.52,5.5,4.28,94.2,1.0,94.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.28,1.0,0.0,0.0,28.6,1.0,0.0,0.0,75.0,1.0,2.98,36.08,31.4,76.12,31.4,68.43,22.59,84.07,22.49,76.84,33.71,32.81,-999
2.34,4.83,3.28,3.03,3.24,5.15,2.01,92.65,1.0,92.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.06,1.0,0.0,0.0,0.0,0.0,32.9,1.0,0.0,0.0,0.0,0.0,2.98,36.91,27.84,71.08,27.8,85.01,28.82,62.85,28.69,68.74,40.21,29.21,-999
0.86,2.37,4.1,3.11,2.68,5.5,2.58,98.63,1.0,98.65,1.0,0.0,0.0,35.46,1.0,0.0,0.0,0.0,0.0,49.56,1.0,34.91,1.0,0.0,0.0,29.48,1.0,0.0,0.0,81.67,1.0,2.97,33.71,26.75,88.05,26.82,85.02,19.36,81.48,19.26,70.92,29.71,28.81,-999
1.11,4.19,4.45,2.99,2.25,5.34,2.65,97.03,1.0,97.04,1.0,0.0,0.0,34.17,1.0,0.0,0.0,0.0,0.0,48.89,1.0,34.45,1.0,0.0,0.0,30.2,1.0,0.0,0.0,74.71,1.0,2.98,34.57,28.55,92.05,28.62,88.09,20.05,82.95,19.94,69.28,31.44,30.54,-999
3.81,4.69,3.79,3.95,3.38,5.38,4.22,90.75,1.0,90.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.82,1.0,38.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,37.91,27.71,69.24,27.67,85.36,29.56,85.56,29.56,56.17,41.64,29.09,-999
3.29,1.32,4.57,4.47,3.28,5.26,2.72,118.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.7,1.0,34.46,1.0,0.0,0.0,30.48,1.0,0.0,0.0,81.31,1.0,2.99,22.81,26.96,73.21,26.92,86.76,19.72,82.6,19.61,68.06,29.49,28.59,-999
1.96,4.52,4.24,4.31,3.79,5.14,3.24,97.91,1.0,97.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.73,1.0,36.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.15,1.0,2.97,34.09,29.65,72.56,29.61,87.48,25.97,85.41,25.97,58.6,32.12,31.22,-999
3.4,3.39,3.77,4.12,1.77,5.32,2.75,91.45,1.0,91.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.23,1.0,0.0,0.0,0.0,0.0,32.92,1.0,0.0,0.0,88.53,1.0,2.98,37.54,29.3,70.73,29.26,86.16,28.57,60.7,28.44,68.4,31.88,30.98,-999
2.38,2.94,4.22,3.64,3.74,5.5,2.94,96.24,1.0,96.25,1.0,0.0,0.0,33.35,1.0,0.0,0.0,0.0,0.0,48.57,1.0,0.0,0.0,0.0,0.0,30.95,1.0,0.0,0.0,90.92,1.0,2.98,34.99,27.45,92.3,27.51,87.58,27.53,63.95,27.42,74.31,30.43,29.53,-999
2.68,4.47,3.55,3.77,1.56,5.26,3.52,94.92,1.0,94.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.73,1.0,34.31,1.0,0.0,0.0,30.75,1.0,0.0,0.0,0.0,0.0,2.98,35.7,27.5,68.01,27.46,85.32,15.72,78.96,15.45,79.4,38.59,28.87,-999
1.75,5.53,4.5,3.38,2.53,5.19,3.14,89.94,1.0,89.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.26,1.0,0.0,0.0,0.0,0.0,32.62,1.0,0.0,0.0,0.0,0.0,2.98,38.33,28.67,72.73,28.63,89.28,29.94,62.3,29.81,70.88,41.71,30.04,-999
3.81,4.75,3.93,3.66,3.09,5.5,2.76,95.69,1.0,95.71,1.0,0.0,0.0,34.83,1.0,0.0,0.0,0.0,0.0,50.48,1.0,37.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,84.42,1.0,2.98,35.29,29.15,91.54,29.21,85.61,27.72,85.4,27.72,56.98,32.12,31.22,1
1.87,4.51,3.02,3.07,2.23,5.35,2.66,119.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.63,1.0,34.82,1.0,0.0,0.0,30.53,1.0,0.0,0.0,50.54,1.0,2.99,22.05,29.32,69.79,29.28,85.37,18.65,80.93,18.54,66.83,31.71,30.81,-999
4.39,0.52,4.57,3.85,2.14,4.97,2.51,118.22,1.0,0.0,0.0,0.0,0.0,35.06,1.0,0.0,0.0,0.0,0.0,48.37,1.0,35.17,1.0,0.0,0.0,30.74,1.0,0.0,0.0,93.47,1.0,2.99,22.78,25.03,87.02,25.09,85.54,19.58,81.27,19.47,67.06,28.04,27.14,-999
3.97,5.32,5.04,3.16,2.74,4.98,2.48,94.55,1.0,94.57,1.0,0.0,0.0,34.82,1.0,0.0,0.0,0.0,0.0,50.28,1.0,35.7,1.0,0.0,0.0,31.27,1.0,0.0,0.0,83.92,1.0,2.98,35.89,29.72,92.13,29.78,86.58,22.07,82.82,21.96,67.89,32.69,31.79,-999
3.41,0.77,5.26,3.0,2.99,5.34,2.83,117.24,1.0,0.0,0.0,0.0,0.0,32.83,1.0,0.0,0.0,0.0,0.0,47.87,1.0,0.0,0.0,0.0,0.0,24.97,1.0,24.94,1.0,95.03,1.0,2.99,23.34,25.4,91.09,25.46,86.82,23.51,63.23,23.24,87.53,28.39,27.49,1
4.05,3.85,3.16,4.21,3.35,5.5,3.81,92.26,1.0,92.28,1.0,0.0,0.0,34.54,1.0,0.0,0.0,0.0,0.0,48.17,1.0,36.14,1.0,0.0,0.0,30.91,1.0,0.0,0.0,0.0,0.0,2.98,37.11,23.7,86.58,23.76,84.56,22.64,82.61,22.53,69.56,40.56,25.46,-999
4.03,2.33,4.84,3.94,1.65,5.5,4.79,93.37,1.0,93.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.77,1.0,2.98,36.52,31.61,76.5,31.61,66.3,28.7,86.98,28.7,61.4,33.95,33.05,-999
3.14,4.27,3.44,4.1,1.9,5.5,3.44,91.84,1.0,91.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.53,1.0,0.0,0.0,0.0,0.0,31.87,1.0,0.0,0.0,0.0,0.0,2.98,37.33,27.31,71.08,27.27,85.52,29.71,61.53,29.59,73.3,40.89,28.69,-999
3.56,1.07,5.18,4.52,3.92,5.07,2.98,113.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.45,1.0,2.99,25.22,30.13,76.75,30.13,70.59,27.93,88.02,27.93,59.28,32.46,31.56,-999
1.59,4.82,3.26,4.39,2.27,5.5,4.52,97.21,1.0,97.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.62,1.0,34.79,1.0,0.0,0.0,29.57,1.0,0.0,0.0,67.8,1.0,2.97,34.47,29.88,68.21,29.84,85.96,20.3,82.63,20.2,71.57,32.34,31.44,-999
3.02,4.05,4.82,3.7,2.79,5.5,2.91,94.67,1.0,94.69,1.0,0.0,0.0,34.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.17,1.0,0.0,0.0,80.08,1.0,2.98,35.83,30.36,93.09,30.47,66.48,28.46,63.27,28.34,74.49,32.9,32.0,-999
4.19,0.54,4.45,4.19,3.26,5.5,4.54,95.98,1.0,96.0,1.0,0.0,0.0,34.02,1.0,0.0,0.0,0.0,0.0,48.18,1.0,35.22,1.0,0.0,0.0,29.61,1.0,0.0,0.0,107.89,1.0,2.98,35.13,25.5,89.24,25.56,86.36,21.96,83.55,21.85,73.1,28.6,27.7,-999
3.43,2.23,3.13,3.99,2.91,5.5,3.71,96.17,1.0,96.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.2,1.0,36.03,1.0,0.0,0.0,30.67,1.0,0.0,0.0,90.02,1.0,2.98,35.03,28.23,67.13,28.19,85.13,21.11,81.27,21.0,68.8,30.82,29.92,-999
1.66,4.15,4.99,3.93,1.5,5.06,2.56,118.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.53,1.0,34.85,1.0,0.0,0.0,30.53,1.0,0.0,0.0,56.31,1.0,2.99,22.33,29.01,73.62,28.97,87.23,18.92,81.15,18.81,67.1,31.41,30.51,-999
3.42,1.76,4.4,3.04,3.24,5.5,2.24,97.02,1.0,97.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,1.0,35.32,1.0,0.0,0.0,31.01,1.0,0.0,0.0,90.06,1.0,2.98,34.57,27.73,70.11,27.69,84.06,20.72,82.14,20.61,67.28,30.33,29.43,-999
1.71,5.24,3.08,3.56,2.8,5.5,4.34,97.91,1.0,97.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1,1.0,35.08,1.0,0.0,0.0,30.2,1.0,0.0,0.0,62.52,1.0,2.97,34.09,30.17,69.15,30.13,85.29,19.81,81.64,19.7,69.07,32.61,31.71,-999
1.06,4.04,4.56,4.02,1.93,5.5,3.79,120.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.4,1.0,34.95,1.0,0.0,0.0,29.92,1.0,0.0,0.0,45.03,1.0,2.99,21.17,28.82,69.44,28.78,85.34,17.74,79.79,17.64,67.89,31.18,30.28,-999
4.22,4.02,4.16,4.37,1.54,5.13,2.75,94.85,1.0,94.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.74,1.0,0.0,0.0,0.0,0.0,32.36,1.0,0.0,0.0,86.29,1.0,2.98,35.73,29.9,74.4,29.87,89.62,28.94,60.89,28.82,70.79,32.46,31.56,-999
1.85,4.85,4.61,4.05,2.41,5.21,2.36,96.8,1.0,96.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.58,1.0,35.24,1.0,0.0,0.0,30.8,1.0,0.0,0.0,69.48,1.0,2.98,34.69,29.99,72.59,29.95,88.11,20.2,81.77,20.09,67.46,32.46,31.56,-999
4.35,4.15,3.29,3.38,2.55,5.26,2.51,91.67,1.0,91.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.85,1.0,36.17,1.0,0.0,0.0,31.32,1.0,0.0,0.0,0.0,0.0,2.98,37.42,27.17,69.42,27.13,84.77,22.94,82.86,22.83,68.45,40.98,28.55,-999
3.3,2.09,4.07,3.14,3.35,5.5,3.41,97.49,1.0,97.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.34,1.0,35.43,1.0,0.0,0.0,30.79,1.0,0.0,0.0,86.67,1.0,2.97,34.32,27.9,70.17,27.86,84.52,20.43,81.65,20.32,67.73,30.47,29.57,-999
1.14,3.54,5.28,2.85,2.84,5.48,2.93,97.76,1.0,97.78,1.0,0.0,0.0,34.93,1.0,0.0,0.0,49.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.14,1.0,0.0,0.0,77.97,1.0,2.97,34.17,27.9,90.12,27.96,85.61,26.09,62.33,25.97,68.75,30.83,29.93,1
1.02,4.29,4.05,3.92,2.84,5.03,2.2,98.7,1.0,98.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,1.0,34.67,1.0,0.0,0.0,30.86,1.0,0.0,0.0,64.6,1.0,2.97,33.67,29.27,71.96,29.23,85.59,19.06,81.59,18.94,66.12,31.72,30.82,-999
3.33,1.69,4.69,3.21,2.73,5.14,2.45,118.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.21,1.0,35.24,1.0,0.0,0.0,30.71,1.0,0.0,0.0,78.63,1.0,2.99,22.65,27.13,71.85,27.09,84.02,19.31,80.86,19.2,66.88,29.66,28.76,-999
2.91,3.93,4.82,4.18,3.6,5.5,3.4,95.25,1.0,95.27,1.0,0.0,0.0,33.58,1.0,0.0,0.0,0.0,0.0,48.48,1.0,34.54,1.0,0.0,0.0,29.26,1.0,0.0,0.0,88.42,1.0,2.98,35.52,28.41,92.89,28.47,88.71,22.02,84.77,21.92,74.24,31.36,30.46,-999
3.79,0.48,4.29,3.32,2.56,5.5,3.16,95.03,1.0,95.05,1.0,0.0,0.0,32.2,1.0,0.0,0.0,42.86,1.0,16.95,1.0,0.0,0.0,0.0,0.0,32.22,1.0,0.0,0.0,112.99,1.0,2.98,35.64,25.17,91.85,25.21,94.98,28.65,63.0,28.53,71.02,28.41,27.51,-999
2.75,3.52,5.27,4.06,2.0,5.47,4.64,94.2,1.0,94.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.38,1.0,2.98,36.08,31.92,76.03,31.92,67.98,27.76,86.67,27.76,60.74,34.21,33.31,-999
2.13,2.03,4.06,3.06,3.84,5.5,3.72,118.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.45,1.0,0.0,0.0,0.0,0.0,31.55,1.0,0.0,0.0,76.0,1.0,2.99,22.53,27.36,67.44,27.32,83.78,25.77,62.52,25.65,70.49,29.87,28.97,-999
0.95,2.81,5.18,4.46,3.98,5.21,3.08,96.49,1.0,96.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.41,1.0,0.0,0.0,29.56,1.0,0.0,0.0,63.79,1.0,2.98,34.86,30.64,76.71,30.64,68.6,20.55,85.19,20.44,71.85,32.89,31.99,-999
2.31,4.96,3.73,3.39,2.8,5.39,2.69,93.85,1.0,93.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.85,1.0,35.7,1.0,0.0,0.0,31.24,1.0,0.0,0.0,0.0,0.0,2.98,36.27,27.99,70.2,27.95,85.58,21.13,81.88,21.02,66.93,39.16,29.36,-999
0.35,2.49,4.23,4.11,3.47,5.13,1.14,98.71,1.0,98.73,1.0,0.0,0.0,33.92,1.0,0.0,0.0,0.0,0.0,49.07,1.0,33.68,1.0,0.0,0.0,30.21,1.0,0.0,0.0,78.91,1.0,2.97,33.66,26.9,90.81,26.96,86.09,19.18,83.39,19.07,68.4,29.81,28.91,-999
3.8,0.77,4.95,3.15,2.36,5.4,4.34,90.46,1.0,90.47,1.0,0.0,0.0,32.07,1.0,0.0,0.0,0.0,0.0,47.5,1.0,38.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,38.06,20.98,87.87,21.04,83.06,29.67,85.38,29.67,57.12,41.81,22.7,-999
2.44,5.26,3.26,3.1,1.6,5.01,2.04,93.63,1.0,93.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.48,1.0,35.94,1.0,0.0,0.0,31.36,1.0,0.0,0.0,0.0,0.0,2.98,36.39,28.23,69.15,28.19,84.59,21.2,81.53,21.09,66.57,39.32,29.61,-999
4.06,0.84,4.31,3.59,1.64,5.5,3.44,95.5,1.0,95.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.57,1.0,36.19,1.0,0.0,0.0,30.03,1.0,0.0,0.0,99.41,1.0,2.98,35.39,27.45,71.17,27.41,85.58,21.85,81.73,21.74,71.63,30.1,29.2,-999
0.75,2.28,5.09,4.31,3.85,5.28,3.81,96.47,1.0,96.49,1.0,0.0,0.0,33.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.42,1.0,2.98,34.87,28.72,92.56,28.82,66.99,29.3,64.25,29.3,58.84,31.26,30.36,-999
2.94,4.62,4.95,4.03,2.56,5.24,3.38,94.54,1.0,94.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.24,1.0,0.0,0.0,0.0,0.0,31.62,1.0,0.0,0.0,81.53,1.0,2.98,35.9,30.24,75.91,30.2,89.01,28.4,63.99,28.28,72.9,32.77,31.87,-999
3.34,0.49,5.05,3.34,1.97,5.5,4.67,118.16,1.0,0.0,0.0,0.0,0.0,35.04,1.0,0.0,0.0,0.0,0.0,49.22,1.0,0.0,0.0,0.0,0.0,31.45,1.0,0.0,0.0,94.44,1.0,2.99,22.81,24.99,87.02,25.05,83.9,26.25,59.69,26.14,71.3,28.02,27.12,-999
0.86,3.27,4.21,3.0,3.01,5.32,1.49,98.29,1.0,98.3,1.0,0.0,0.0,35.26,1.0,0.0,0.0,0.0,0.0,49.87,1.0,34.57,1.0,0.0,0.0,30.92,1.0,0.0,0.0,76.44,1.0,2.97,33.89,27.6,89.25,27.66,85.26,19.22,81.94,19.11,66.08,30.52,29.62,-999
